 "value" , "label" , "location" , "region" , "occorrenze" ,
 "http://iconclass.org/25G" , "piante; vegetazione" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/25G31" , "arbusti" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/25G41" , "fiori" , "https://sacred_space.com/resource/hertziana/man-made_object/SIC_PA_Monreale_ComplessodellaCattedralediMonreale_CattedralediSMariaNuova" , "https://sacred_space.com/resource/hertziana/place/sicilia" , "3" ,
 "http://iconclass.org/25G41" , "fiori" ,  ,  , "1" ,
 "http://iconclass.org/25GG" , "piante fantastiche, vegetazione fantastica" ,  ,  , "1" ,
 "http://iconclass.org/25GG4%28ACANTHUS%29" , "piante ed erbe: acanto - GG - piante fantastiche, vegetazione fantastica" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/3" , "essere umano, uomo in generale" ,  ,  , "1" ,
 "http://iconclass.org/31A" , "la figura umana (nuda); 'Corpo humano' (Ripa)" , "https://sacred_space.com/resource/hertziana/man-made_object/BAS_PZ_Venosa_ComplessoabbazialediVenosa/man-made_object/BAS_PZ_Venosa_ComplessoabbazialediVenosa_01_ChiesaIncompiuta" ,  , "1" ,
 "http://iconclass.org/31A221%28%2B813%29" , "testa (umana) (+ maschio vecchio (essere umano))" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/31A221%28%2B813%29" , "testa (umana) (+ maschio vecchio (essere umano))" ,  ,  , "1" ,
 "http://iconclass.org/31A2211" , "volto" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "2" ,
 "http://iconclass.org/31A4561" , "tritone" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/31A534" , "barba" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/31A534" , "barba" ,  ,  , "1" ,
 "http://iconclass.org/31AA4561" , "tritone - AA - tritone, sirena" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/31G" , "l'anima" , "https://sacred_space.com/resource/hertziana/man-made_object/BAS_PZ_Venosa_ComplessoabbazialediVenosa/man-made_object/BAS_PZ_Venosa_ComplessoabbazialediVenosa_01_ChiesaIncompiuta" ,  , "1" ,
 "http://iconclass.org/33A8" , "in due, in coppia" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/34" , "uomo e animale" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/34A" , "addomesticare e allenare, addestrare animali" ,  ,  , "1" ,
 "http://iconclass.org/34A11" , "domare, addomesticare animali; animale domato o addomesticato" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/34B12" , "gatto" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/34F" , "uomo e animale (selvatico)" , "https://sacred_space.com/resource/hertziana/man-made_object/BAS_PZ_Venosa_ComplessoabbazialediVenosa/man-made_object/BAS_PZ_Venosa_ComplessoabbazialediVenosa_01_ChiesaIncompiuta" ,  , "1" ,
